Name,Month and Year,Disaster,Begin Date,End Date,"Total CPI-Adjusted Cost, (Millions of Dollars)",Deaths
Southern Severe Storms and Flooding,April 1980,Flooding,4/10/80,4/17/80,"$2,664.50",7
Hurricane Allen,August 1980,Tropical Cyclone,8/7/80,8/11/80,"$2,159.40",13
Central/Eastern Drought/Heat Wave,Summer-Fall 1980,Drought,6/1/80,11/30/80,"$39,278.40",1260
Florida Freeze,January 1981,Freeze,1/12/81,1/14/81,"$2,007.70",0
"Severe Storms, Flash Floods, Hail, Tornadoes",May 1981,Severe Storm,5/5/81,5/10/81,"$1,365.00",20
"Midwest/Southeast/Northeast Winter Storm, Cold Wave",January 1982,Winter Storm,1/8/82,1/16/82,"$2,144.80",85
Midwest/Plains/Southeast Tornadoes,April 1982,Severe Storm,4/2/82,4/4/82,"$1,556.00",33
Severe Storms,June 1982,Severe Storm,5/31/82,6/10/82,"$1,526.10",30
Gulf States Storms and Flooding,December 1982-January 1983,Flooding,12/1/82,1/15/83,"$4,777.20",45
Western Storms and Flooding,December 1982-March 1983,Flooding,12/13/82,3/31/83,"$4,663.80",50
Hurricane Alicia,August 1983,Tropical Cyclone,8/17/83,8/20/83,"$9,120.00",21
Southeast Drought,Summer 1983,Drought,6/1/83,8/31/83,"$9,247.90",0
Arizona Flooding,October 1983,Flooding,9/29/83,10/3/83,"$1,212.00",14
Freeze / Cold Wave,December 1983,Freeze,12/15/83,12/25/83,"$6,258.50",151
"Tornadoes, Severe Storms, Floods",Spring 1984,Severe Storm,3/27/84,4/7/84,"$1,791.60",80
Severe Storms and Hail,June 1984,Severe Storm,6/13/84,6/17/84,"$1,311.80",1
"Winter Storm, Cold Wave",January 1985,Winter Storm,1/19/85,1/22/85,"$2,418.80",150
Florida Freeze,January 1985,Freeze,1/20/85,1/22/85,"$3,468.00",0
Ohio and Pennsylvania Tornado Outbreak,June 1985,Severe Storm,5/31/85,5/31/85,"$1,704.00",89
Hurricane Elena,September 1985,Tropical Cyclone,8/30/85,9/3/85,"$3,671.60",4
Hurricane Gloria,September 1985,Tropical Cyclone,9/26/85,9/28/85,"$2,414.00",11
Hurricane Juan,October 1985,Tropical Cyclone,10/27/85,10/31/85,"$4,205.80",63
"Virginia, West Virginia, Pennsylvania and Maryland Flooding",November 1985,Flooding,11/3/85,11/8/85,"$3,920.00",62
Western Severe Storms and Flooding,February 1986,Severe Storm,2/14/86,2/16/86,"$1,478.10",13
Southeast Drought/Heat Wave,Summer 1986,Drought,6/1/86,8/31/86,"$5,014.10",100
Michigan Flooding,September 1986,Flooding,9/10/86,9/12/86,"$1,108.00",10
U.S. Drought/Heat Wave,Summer 1988,Drought,6/1/88,8/31/88,"$52,810.20",454
